,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,2,31
32,0.9205479452054793,2,2,32
33,1.0301369863013696,2,4,33
34,1.13972602739726,2,4,34
35,1.2493150684931504,2,4,35
36,1.3589041095890408,2,4,36
37,1.4684931506849312,2,4,37
38,1.5780821917808217,2,6,38
39,1.687671232876712,2,6,39
40,1.7972602739726025,2,6,40
41,1.9068493150684929,2,8,41
42,2.0,2,8,42
43,2.0,2,8,43
44,2.0,2,8,44
45,2.0,2,8,45
46,2.0,2,8,46
47,2.0,2,10,47
48,2.0,2,10,48
49,2.0,2,10,49
50,2.0,2,12,50
51,2.0,2,12,51
52,2.1095890410958904,4,16,52
53,2.1315068493150684,4,16,53
54,2.153424657534247,4,16,54
55,2.175342465753425,4,16,55
56,2.197260273972603,4,16,56
57,2.328767123287671,4,19,57
58,2.3945205479452056,4,19,58
59,2.4602739726027396,4,19,59
60,2.6356164383561644,4,19,60
61,2.767123287671233,6,21,61
62,2.8986301369863012,6,21,62
63,3.052054794520548,6,21,63
64,3.2054794520547945,6,21,64
65,3.3808219178082193,6,21,65
66,3.7315068493150685,6,21,66
67,3.9945205479452053,6,21,67
68,4.257534246575343,6,21,68
69,4.673972602739727,6,21,69
70,5.0246575342465745,6,21,70
71,5.594520547945207,6,21,71
72,6.0109589041095886,6,21,72
73,6.44931506849315,6,21,73
74,6.887671232876711,6,21,74
75,7.391780821917808,6,21,75
76,8.043835616438356,6,21,76
77,8.515068493150684,6,21,77
78,9.030136986301368,6,21,78
79,9.567123287671231,6,21,79
80,10.301369863013697,6,21,80
81,10.93150684931507,6,21,81
82,11.523287671232877,6,21,82
83,12.115068493150686,6,21,83
84,12.734246575342466,6,21,84
85,13.326027397260274,6,21,85
86,13.939726027397258,6,23,86
87,14.553424657534245,6,23,87
88,15.167123287671231,6,23,88
89,15.85753424657534,6,23,89
90,16.53150684931507,6,23,90
91,17.11232876712329,6,23,91
92,17.693150684931503,9,28,92
93,18.279452054794522,9,28,93
94,18.772602739726025,9,28,94
95,19.232876712328764,9,28,95
96,19.506849315068493,9,28,96
97,19.780821917808222,9,32,97
98,20.054794520547947,9,32,98
99,20.32876712328767,9,32,99
100,20.578082191780823,9,32,100
101,20.68767123287671,9,32,101
102,20.797260273972604,9,36,102
103,20.90684931506849,9,36,103
104,21.0,11,44,104
105,21.109589041095887,11,44,105
106,21.13150684931507,11,44,106
107,21.153424657534245,11,44,107
108,21.175342465753424,11,44,108
109,21.197260273972603,16,54,109
110,21.21917808219178,16,54,110
111,21.53698630136986,16,54,111
112,21.63561643835616,16,54,112
113,21.73424657534246,16,54,113
114,21.876712328767123,16,54,114
115,22.019178082191782,16,54,115
116,22.38082191780822,16,54,116
117,22.621917808219177,16,54,117
118,22.88493150684931,16,54,118
119,23.14794520547945,16,54,119
120,23.520547945205482,16,54,120
121,24.112328767123284,16,54,121
122,24.57260273972603,16,54,122
123,25.47123287671231,16,54,123
124,26.07397260273972,19,65,124
125,26.764383561643832,19,65,125
126,27.454794520547946,20,75,126
127,28.189041095890413,20,75,127
128,29.471232876712325,20,75,128
129,30.43013698630137,20,75,129
130,31.383561643835602,20,75,130
131,32.33698630136987,22,87,131
132,33.465753424657535,22,87,132
133,34.594520547945194,22,87,133
134,35.87671232876711,25,99,134
135,37.117808219178066,25,99,135
136,38.21369863013698,25,99,136
137,39.52876712328767,25,99,137
138,40.84383561643837,25,99,138
139,42.158904109589024,25,99,139
140,43.44109589041095,25,103,140
141,44.64657534246575,25,103,141
142,45.852054794520555,25,103,142
143,47.66027397260273,25,112,143
144,48.98630136986302,25,112,144
145,50.82739726027394,25,112,145
146,52.0438356164384,29,132,146
147,53.1945205479452,29,132,147
148,53.97260273972603,29,132,148
149,54.87123287671231,29,132,149
150,56.42739726027393,29,132,150
151,57.56712328767124,30,150,151
152,58.86575342465752,30,150,152
153,60.356164383561655,30,150,153
154,61.539726027397265,30,150,154
155,62.72328767123285,34,171,155
156,64.15890410958902,34,171,156
157,65.59452054794521,34,171,157
158,67.13972602739722,34,171,158
159,69.29863013698632,34,171,159
160,71.2821917808219,34,171,160
161,73.26575342465755,34,171,161
162,76.00547945205477,37,195,162
163,78.48219178082189,37,195,163
