,uninfected_percent,tree_percent,infected_percent,proportions,clustering
8,0.83,0.11,0.17,0.1,0.2
18,0.82,0.11,0.18,0.1,0.3
70,0.81,0.41,0.19,0.4,0.3
77,0.78,0.4,0.22,0.4,0.3
41,0.78,0.3,0.22,0.25,0.3
25,0.75,0.12,0.25,0.1,0.4
30,0.74,0.26,0.26,0.25,0.2
5,0.73,0.1,0.27,0.1,0.2
71,0.73,0.4,0.27,0.4,0.3
36,0.72,0.26,0.28,0.25,0.2
