,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,2,31
32,0.9205479452054793,2,2,32
33,1.0301369863013696,2,2,33
34,1.13972602739726,2,2,34
35,1.2493150684931504,2,2,35
36,1.3589041095890408,2,2,36
37,1.4684931506849312,2,2,37
38,1.5780821917808217,2,2,38
39,1.687671232876712,2,2,39
40,1.7972602739726025,2,2,40
41,1.9068493150684929,3,5,41
42,2.0,3,5,42
43,2.0,4,9,43
44,2.0,6,13,44
45,2.0,6,13,45
46,2.0,6,13,46
47,2.0,6,13,47
48,2.0,6,15,48
49,2.0,6,15,49
50,2.0,6,15,50
51,2.0,6,15,51
52,2.0,6,15,52
53,2.0,6,15,53
54,2.0,6,15,54
55,2.0,6,15,55
56,2.0,6,15,56
57,2.0,6,15,57
58,2.0,6,15,58
59,2.0,6,17,59
60,2.1643835616438354,6,17,60
61,2.197260273972603,6,17,61
62,2.449315068493151,6,17,62
63,2.745205479452055,6,17,63
64,2.8657534246575347,6,17,64
65,2.986301369863014,6,17,65
66,3.1397260273972605,6,17,66
67,3.4027397260273977,6,17,67
68,3.6219178082191785,6,17,68
69,3.950684931506849,6,17,69
70,4.279452054794521,6,17,70
71,4.695890410958904,6,17,71
72,5.199999999999999,8,23,72
73,5.75890410958904,8,23,73
74,6.317808219178082,10,29,74
75,6.920547945205479,10,33,75
76,7.610958904109587,10,33,76
77,8.301369863013697,10,33,77
78,9.101369863013698,10,33,78
79,9.813698630136985,10,33,79
80,10.54794520547945,10,33,80
81,11.282191780821917,13,41,81
82,12.016438356164382,13,41,82
83,12.750684931506848,13,41,83
84,13.482191780821914,13,41,84
85,14.073972602739724,13,41,85
86,14.632876712328766,13,41,86
87,15.016438356164386,13,41,87
88,15.213698630136987,13,41,88
89,15.410958904109588,13,41,89
90,15.608219178082193,13,41,90
91,16.13972602739726,13,41,91
92,16.315068493150687,13,41,92
93,16.81917808219178,13,45,93
94,17.27945205479452,13,45,94
95,17.564383561643833,18,54,95
96,17.84931506849315,18,54,96
97,18.2,18,54,97
98,18.550684931506847,20,63,98
99,18.96712328767123,20,63,99
100,19.997260273972604,20,63,100
101,20.676712328767117,20,63,101
102,21.471232876712328,20,63,102
103,22.260273972602736,20,63,103
104,23.115068493150687,20,63,104
105,23.96986301369863,23,75,105
106,24.978082191780825,23,75,106
107,26.03013698630136,23,75,107
108,27.082191780821915,23,75,108
109,28.309589041095894,23,81,109
110,29.536986301369854,23,81,110
111,30.764383561643843,23,81,111
112,32.210958904109575,23,81,112
113,33.56986301369862,23,81,113
114,35.42191780821916,23,81,114
115,36.830136986301376,23,81,115
116,37.95890410958903,23,81,116
117,39.53150684931507,23,88,117
118,40.44109589041096,23,88,118
119,41.164383561643824,23,88,119
120,41.98630136986302,23,88,120
121,42.89589041095889,23,88,121
122,43.80547945205478,23,88,122
123,45.01095890410959,23,88,123
124,46.808219178082176,23,96,124
125,47.75068493150684,23,96,125
126,48.8904109589041,23,96,126
127,50.12876712328768,23,96,127
128,51.695890410958896,23,96,128
129,52.99999999999999,23,96,129
130,54.53424657534244,23,96,130
131,56.06849315068493,23,96,131
132,57.60273972602741,23,96,132
133,59.400000000000006,23,96,133
134,61.26301369863014,23,96,134
135,63.126027397260245,23,96,135
136,65.33972602739723,23,96,136
137,67.32328767123286,23,96,137
138,69.23287671232877,23,96,138
139,70.72328767123284,29,128,139
140,72.213698630137,29,128,140
141,73.6958904109589,29,128,141
142,74.83561643835618,29,128,142
143,76.41369863013698,29,128,143
144,77.64109589041098,29,128,144
145,79.02191780821919,29,128,145
146,80.40273972602739,29,128,146
147,81.7835616438356,29,143,147
148,83.06575342465752,29,143,148
149,83.95342465753424,29,143,149
150,84.84109589041094,29,158,150
151,85.72876712328767,29,158,151
152,86.74246575342465,29,158,152
153,87.47671232876712,29,158,153
154,88.21095890410959,29,158,154
155,88.94520547945206,34,188,155
156,89.76712328767123,34,188,156
157,90.5890410958904,34,188,157
158,93.16438356164377,34,188,158
159,94.33698630136982,37,212,159
160,95.45205479452062,37,212,160
161,96.24109589041103,37,212,161
162,97.03013698630137,37,212,162
163,97.81917808219173,37,212,163
164,98.95890410958913,37,216,164
165,100.09863013698626,37,216,165
166,102.06027397260283,37,216,166
