,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,4,31
32,0.9205479452054793,2,4,32
33,1.0301369863013696,2,4,33
34,1.13972602739726,2,6,34
35,1.2493150684931504,2,6,35
36,1.3589041095890408,2,8,36
37,1.4684931506849312,2,8,37
38,1.5780821917808217,2,8,38
39,1.687671232876712,2,8,39
40,1.7972602739726025,2,8,40
41,1.9068493150684929,2,8,41
42,2.0,2,8,42
43,2.0,4,12,43
44,2.0,4,12,44
45,2.0,4,12,45
46,2.0,4,12,46
47,2.0,4,12,47
48,2.0,4,12,48
49,2.0,4,12,49
50,2.1095890410958904,4,12,50
51,2.1315068493150684,4,12,51
52,2.153424657534247,4,12,52
53,2.2849315068493152,4,12,53
54,2.328767123287671,4,12,54
55,2.4821917808219176,4,12,55
56,2.5698630136986305,4,12,56
57,2.6575342465753424,4,12,57
58,2.745205479452055,4,12,58
59,2.8986301369863012,4,12,59
60,3.052054794520548,4,12,60
61,3.2273972602739724,4,12,61
62,3.665753424657534,4,12,62
63,3.9506849315068493,4,12,63
64,4.279452054794521,4,12,64
65,4.608219178082192,4,12,65
66,4.9589041095890405,4,12,66
67,5.30958904109589,4,12,67
68,5.726027397260273,4,12,68
69,6.1424657534246565,4,12,69
70,6.558904109589041,4,12,70
71,7.063013698630136,4,12,71
72,7.567123287671231,4,12,72
73,8.071232876712326,6,16,73
74,8.55890410958904,6,16,74
75,8.9972602739726,6,16,75
76,9.435616438356163,6,16,76
77,9.857534246575343,6,20,77
78,10.186301369863012,6,20,78
79,10.4986301369863,6,20,79
80,10.717808219178082,6,20,80
81,10.936986301369863,6,20,81
82,11.156164383561645,7,28,82
83,11.375342465753425,7,31,83
84,11.594520547945205,7,35,84
85,11.813698630136987,7,35,85
86,12.0,7,37,86
87,12.0,7,37,87
88,12.0,7,37,88
89,12.0,7,37,89
90,12.0,7,37,90
91,12.0,7,37,91
92,12.219178082191782,7,37,92
93,12.263013698630138,7,37,93
94,12.306849315068494,7,39,94
95,12.350684931506848,7,39,95
96,12.613698630136987,7,39,96
97,12.701369863013701,7,39,97
98,12.832876712328767,7,39,98
99,12.964383561643835,7,39,99
100,13.095890410958905,7,44,100
101,13.753424657534248,7,44,101
102,14.268493150684934,7,44,102
103,14.87123287671233,7,44,103
104,15.298630136986299,7,46,104
105,15.967123287671232,8,51,105
106,16.547945205479458,8,51,106
107,17.21643835616438,8,51,107
108,17.91780821917808,8,51,108
109,18.70684931506849,8,51,109
110,19.671232876712324,8,51,110
111,20.723287671232875,10,56,111
112,21.86301369863014,10,56,112
113,23.112328767123287,14,64,113
114,24.405479452054795,14,64,114
115,25.731506849315064,14,64,115
116,27.068493150684933,14,64,116
117,28.219178082191775,14,64,117
118,29.391780821917816,14,64,118
119,30.860273972602734,14,64,119
120,32.076712328767115,14,64,120
121,33.10684931506849,14,64,121
122,34.18082191780822,14,64,122
123,35.364383561643834,14,64,123
124,36.73424657534245,14,64,124
125,37.87397260273973,14,64,125
126,38.63835616438355,14,64,126
127,39.23013698630137,14,64,127
128,39.74520547945205,14,64,128
129,40.26575342465753,14,64,129
130,41.02191780821918,14,64,130
131,41.55890410958902,14,64,131
132,42.63287671232875,14,64,132
133,43.46575342465755,15,67,133
134,44.2986301369863,15,67,134
135,45.131506849315066,15,67,135
136,46.04109589041096,15,67,136
137,46.989041095890386,15,71,137
138,47.93150684931506,15,71,138
139,48.983561643835614,15,71,139
140,50.03561643835615,15,76,140
141,51.26301369863013,15,76,141
142,52.490410958904114,15,76,142
143,53.73150684931505,15,76,143
144,54.73972602739725,15,76,144
145,55.83561643835615,15,83,145
146,56.93150684931506,15,83,146
147,58.0109589041096,15,83,147
148,58.95616438356164,15,83,148
149,59.668493150684924,15,83,149
150,60.380821917808234,15,83,150
151,61.09315068493151,15,90,151
152,61.96986301369863,21,105,152
153,62.71506849315069,21,105,153
154,63.41917808219176,21,105,154
155,63.89041095890413,24,117,155
156,64.51506849315068,24,117,156
157,64.59178082191781,24,117,157
158,64.7013698630137,24,117,158
159,65.08493150684932,24,117,159
160,65.24931506849316,24,117,160
161,65.47945205479452,24,117,161
162,65.75342465753425,24,117,162
163,66.02739726027397,24,117,163
164,66.68493150684931,24,117,164
