,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,2,31
32,0.9205479452054793,2,2,32
33,1.0301369863013696,2,4,33
34,1.13972602739726,2,4,34
35,1.2493150684931504,2,4,35
36,1.3589041095890408,2,4,36
37,1.4684931506849312,2,4,37
38,1.5780821917808217,2,6,38
39,1.687671232876712,2,6,39
40,1.7972602739726025,2,6,40
41,1.9068493150684929,4,10,41
42,2.0,4,12,42
43,2.0,4,12,43
44,2.0,5,16,44
45,2.0,5,16,45
46,2.0,5,16,46
47,2.0,5,16,47
48,2.0,7,20,48
49,2.0,7,20,49
50,2.0,10,27,50
51,2.0,10,29,51
52,2.1095890410958904,10,29,52
53,2.1315068493150684,10,29,53
54,2.153424657534247,10,29,54
55,2.175342465753425,10,29,55
56,2.197260273972603,10,29,56
57,2.328767123287671,10,29,57
58,2.3945205479452056,10,29,58
59,2.4602739726027396,10,29,59
60,2.7452054794520553,10,29,60
61,3.008219178082192,10,29,61
62,3.1835616438356165,10,29,62
63,3.600000000000001,10,29,63
64,3.8410958904109593,10,29,64
65,4.104109589041097,10,29,65
66,4.454794520547945,10,29,66
67,5.046575342465753,10,29,67
68,5.463013698630138,10,29,68
69,6.394520547945208,11,30,69
70,7.194520547945203,11,30,70
71,7.906849315068492,11,30,71
72,8.706849315068492,11,30,72
73,9.594520547945203,11,30,73
74,10.5041095890411,11,30,74
75,11.490410958904109,11,30,75
76,12.613698630136986,11,30,76
77,13.643835616438354,11,38,77
78,14.827397260273973,11,38,78
79,16.054794520547947,13,47,79
80,17.32602739726028,13,47,80
81,18.580821917808215,14,56,81
82,19.81917808219178,14,56,82
83,21.079452054794515,14,56,83
84,22.306849315068497,14,56,84
85,23.33150684931507,14,56,85
86,24.263013698630136,14,56,86
87,25.16164383561644,20,70,87
88,25.92876712328766,23,83,88
89,26.65205479452055,23,83,89
90,27.37534246575342,23,83,90
91,28.065753424657537,23,83,91
92,28.569863013698626,23,83,92
93,29.016438356164382,23,83,93
94,29.131506849315066,28,97,94
95,29.153424657534245,32,108,95
96,29.61369863013698,32,108,96
97,29.745205479452054,32,108,97
98,30.36986301369862,32,108,98
99,30.599999999999994,32,108,99
100,31.323287671232865,32,108,100
101,31.66301369863013,32,108,101
102,32.09041095890411,32,108,102
103,32.51780821917808,32,108,103
104,33.04383561643836,32,108,104
105,33.74520547945205,37,124,105
106,35.312328767123276,37,124,106
107,37.175342465753424,37,124,107
108,38.468493150684935,37,124,108
109,40.04657534246577,37,124,109
110,41.62465753424661,37,124,110
111,43.30136986301366,37,124,111
112,45.12328767123283,37,124,112
113,47.906849315068435,37,124,113
114,50.67945205479452,37,124,114
115,53.27671232876714,37,124,115
116,56.1589041095891,37,124,116
117,59.041095890410965,37,124,117
118,61.92328767123281,37,133,118
119,65.1123287671232,37,133,119
120,68.49863013698628,37,133,120
121,71.51232876712326,42,162,121
122,74.75890410958901,42,162,122
123,77.827397260274,48,188,123
124,81.69863013698628,48,198,124
125,84.44931506849312,48,198,125
126,87.35342465753429,48,198,126
127,90.37808219178079,54,231,127
128,93.40273972602726,54,231,128
129,96.42739726027389,54,231,129
130,99.51232876712339,54,231,130
131,101.83835616438361,54,231,131
132,103.55890410958915,54,231,132
133,105.63013698630132,54,231,133
134,107.70136986301364,54,231,134
135,109.77260273972595,54,231,135
136,111.84383561643828,54,231,136
137,114.46849315068486,54,231,137
138,115.95616438356157,54,231,138
139,116.93150684931504,54,231,139
140,119.49589041095896,54,231,140
141,120.78904109589038,54,231,141
142,123.50684931506858,54,231,142
143,125.7315068493151,54,231,143
144,127.51780821917812,54,231,144
145,129.30410958904116,54,231,145
146,133.41369863013696,54,231,146
147,136.0767123287669,54,231,147
148,138.89315068493178,64,283,148
149,141.70958904109588,64,283,149
150,144.6246575342466,64,283,150
151,148.10958904109572,64,283,151
152,152.17534246575343,64,283,152
153,156.55890410958912,64,283,153
154,160.94246575342487,64,283,154
155,166.3342465753424,64,283,155
156,171.83561643835642,64,283,156
157,177.33698630136988,64,283,157
158,182.83835616438392,64,283,158
159,188.701369863014,64,283,159
160,194.56438356164406,79,353,160
161,200.35342465753436,79,353,161
162,205.72328767123298,79,353,162
163,211.09315068493152,79,353,163
