,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,2,31
32,0.9205479452054793,2,2,32
33,1.0301369863013696,2,4,33
34,1.13972602739726,2,4,34
35,1.2493150684931504,2,4,35
36,1.3589041095890408,6,10,36
37,1.4684931506849312,6,10,37
38,1.5780821917808217,6,10,38
39,1.687671232876712,7,13,39
40,1.7972602739726025,7,13,40
41,1.9068493150684929,7,13,41
42,2.0,7,13,42
43,2.0,7,13,43
44,2.0,8,16,44
45,2.0,10,20,45
46,2.0,10,20,46
47,2.0,10,20,47
48,2.0,10,20,48
49,2.0,10,20,49
50,2.0,10,24,50
51,2.0,10,24,51
52,2.1095890410958904,10,24,52
53,2.1315068493150684,10,24,53
54,2.153424657534247,11,28,54
55,2.5041095890410965,11,28,55
56,2.5917808219178085,11,28,56
57,2.679452054794521,11,30,57
58,2.953424657534247,11,30,58
59,3.0958904109589045,11,30,59
60,3.2383561643835623,11,30,60
61,3.4904109589041097,11,30,61
62,3.7424657534246575,11,30,62
63,4.1589041095890416,11,32,63
64,4.827397260273973,14,37,64
65,5.342465753424658,14,37,65
66,5.857534246575343,14,37,66
67,6.438356164383561,14,37,67
68,7.0849315068493155,14,37,68
69,7.9835616438356185,14,42,69
70,8.75068493150685,14,48,70
71,9.550684931506849,14,53,71
72,10.416438356164381,14,53,72
73,11.58904109589041,14,53,73
74,12.586301369863017,14,53,74
75,13.627397260273971,14,53,75
76,14.794520547945208,14,53,76
77,15.824657534246576,14,53,77
78,16.94246575342466,14,53,78
79,18.054794520547944,14,53,79
80,18.887671232876713,14,53,80
81,19.720547945205478,14,53,81
82,20.791780821917808,19,70,82
83,21.909589041095895,19,70,83
84,22.80821917808219,25,85,84
85,23.750684931506843,25,85,85
86,24.736986301369864,25,85,86
87,25.698630136986296,25,85,87
88,26.783561643835615,25,85,88
89,27.86849315068493,25,85,89
90,28.964383561643835,25,85,90
91,29.884931506849316,29,102,91
92,30.915068493150677,29,102,92
93,31.912328767123288,29,102,93
94,32.77808219178082,32,118,94
95,33.73150684931507,32,118,95
96,34.794520547945204,32,118,96
97,35.93424657534246,32,118,97
98,37.019178082191786,32,118,98
99,38.21369863013699,35,130,99
100,39.391780821917806,35,130,100
101,41.46301369863013,35,130,101
102,42.85479452054795,35,130,102
103,45.123287671232866,35,130,103
104,46.734246575342475,35,130,104
105,48.34520547945205,35,130,105
106,49.939726027397256,35,130,106
107,51.58630136986301,35,130,107
108,52.99999999999997,35,130,108
109,54.57808219178081,35,130,109
110,57.460273972602714,35,130,110
111,59.59726027397261,35,130,111
112,62.021917808219165,35,130,112
113,65.04109589041094,35,130,113
114,67.22465753424655,35,130,114
115,69.1753424657534,35,141,115
116,71.4767123287671,35,141,116
117,73.77808219178081,35,141,117
118,76.73698630136983,44,170,118
119,79.7178082191781,44,170,119
120,82.69863013698632,50,205,120
121,85.67945205479455,50,205,121
122,89.01095890410954,50,205,122
123,92.5287671232876,50,205,123
124,96.17808219178077,50,205,124
125,99.68767123287662,50,205,125
126,102.58082191780822,50,205,126
127,105.61369863013697,50,205,127
128,107.94794520547943,61,243,128
129,110.28219178082196,69,280,129
130,112.6164383561644,76,319,130
131,115.08219178082193,76,319,131
132,117.54794520547941,76,319,132
133,120.01369863013696,76,319,133
134,122.94246575342466,76,319,134
135,124.59726027397258,76,319,135
136,126.25205479452056,76,319,136
137,129.36438356164382,76,319,137
138,130.46027397260275,76,319,138
139,133.47397260273965,76,332,139
140,135.07397260273973,86,363,140
141,136.6739726027397,86,363,141
142,138.17534246575346,86,363,142
143,139.67671232876705,86,363,143
144,141.1780821917808,86,363,144
145,143.0630136986302,86,363,145
146,145.58356164383557,86,363,146
147,150.30684931506852,86,363,147
148,156.15890410958883,86,373,148
149,162.52602739726026,86,382,149
150,167.50136986301374,86,382,150
151,172.47671232876718,86,382,151
152,177.83561643835614,86,382,152
153,183.61095890410957,86,382,153
154,189.79178082191785,86,382,154
155,196.40000000000032,86,382,155
156,203.84109589041103,86,382,156
157,212.09315068493163,86,382,157
158,221.82191780821904,96,446,158
159,232.16712328767116,96,446,159
160,241.56986301369852,96,446,160
161,251.13972602739747,96,446,161
162,259.7863013698631,96,446,162
163,268.1452054794522,96,446,163
