,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,2,31
32,0.9205479452054793,2,2,32
33,1.0301369863013696,2,2,33
34,1.13972602739726,2,2,34
35,1.2493150684931504,4,6,35
36,1.3589041095890408,4,6,36
37,1.4684931506849312,5,10,37
38,1.5780821917808217,6,14,38
39,1.687671232876712,6,14,39
40,1.7972602739726025,6,14,40
41,1.9068493150684929,6,16,41
42,2.0,6,18,42
43,2.0,6,20,43
44,2.0,6,20,44
45,2.0,6,20,45
46,2.0,6,20,46
47,2.0,6,21,47
48,2.0,6,21,48
49,2.0,6,21,49
50,2.0,6,23,50
51,2.0,11,28,51
52,2.0,11,30,52
53,2.0,11,30,53
54,2.219178082191781,11,30,54
55,2.263013698630137,11,30,55
56,2.5260273972602745,11,30,56
57,2.8328767123287673,11,30,57
58,2.964383561643836,11,30,58
59,3.0958904109589045,11,30,59
60,3.3808219178082197,11,30,60
61,3.6876712328767125,11,30,61
62,4.06027397260274,12,32,62
63,4.476712328767123,12,32,63
64,4.893150684931507,12,32,64
65,5.397260273972603,12,32,65
66,6.065753424657534,12,32,66
67,6.756164383561643,12,32,67
68,7.468493150684932,12,32,68
69,8.378082191780823,12,35,69
70,9.561643835616437,12,39,70
71,10.679452054794522,12,39,71
72,11.720547945205476,12,39,72
73,12.783561643835615,12,39,73
74,13.868493150684932,16,49,74
75,15.019178082191782,17,56,75
76,16.224657534246578,17,56,76
77,17.452054794520542,17,56,77
78,18.690410958904103,17,56,78
79,19.86301369863014,17,56,79
80,21.04657534246575,17,56,80
81,22.12054794520548,17,56,81
82,22.942465753424656,17,56,82
83,23.819178082191783,17,64,83
84,24.701369863013692,17,64,84
85,25.473972602739725,17,64,85
86,26.136986301369863,17,64,86
87,26.72876712328768,17,64,87
88,27.484931506849314,17,64,88
89,28.328767123287662,17,64,89
90,29.03287671232877,17,64,90
91,29.6904109589041,23,80,91
92,30.347945205479455,23,80,92
93,31.53698630136985,23,80,93
94,32.591780821917794,23,80,94
95,33.13424657534246,23,80,95
96,33.58356164383561,23,80,96
97,34.0986301369863,23,80,97
98,34.70136986301371,23,80,98
99,35.413698630136984,26,95,99
100,36.20273972602739,26,95,100
101,37.024657534246565,26,101,101
102,38.547945205479444,26,101,102
103,39.87397260273973,26,101,103
104,41.2,26,101,104
105,42.509589041095886,26,101,105
106,43.835616438356155,26,101,106
107,45.23835616438354,28,122,107
108,46.72876712328767,28,122,108
109,48.219178082191775,28,122,109
110,50.586301369862994,34,145,110
111,52.42739726027398,34,145,111
112,54.24383561643837,34,145,112
113,55.88767123287674,37,167,113
114,57.34520547945204,37,167,114
115,58.89041095890404,37,167,115
116,60.61095890410957,39,184,116
117,62.24931506849315,39,184,117
118,64.18630136986299,39,184,118
119,65.4904109589041,39,184,119
120,67.12328767123289,39,184,120
121,68.4931506849315,39,184,121
122,69.86301369863014,39,184,122
123,71.40821917808213,39,184,123
124,73.11780821917806,39,184,124
125,74.8273972602739,40,203,125
126,77.68767123287677,40,203,126
127,79.58356164383555,40,203,127
128,81.4794520547946,40,203,128
129,84.76712328767121,40,210,129
130,87.04657534246567,40,210,130
131,89.49041095890406,40,210,131
132,93.36986301369862,40,210,132
133,96.35068493150672,40,210,133
134,99.20000000000013,40,210,134
135,102.94794520547947,40,210,135
136,105.9506849315068,40,210,136
137,108.95342465753431,40,210,137
138,112.70136986301371,40,210,138
139,116.6794520547944,40,210,139
140,120.65753424657527,40,210,140
141,125.30410958904092,40,210,141
142,130.07945205479453,40,210,142
143,134.15616438356167,47,248,143
144,139.5972602739726,47,248,144
145,144.16712328767133,47,248,145
146,148.73698630136994,47,248,146
147,153.3068493150686,47,248,147
148,158.44657534246574,47,248,148
149,163.27945205479455,47,248,149
150,168.14794520547943,54,292,150
151,172.03835616438363,54,292,151
152,175.9287671232877,54,292,152
153,180.0465753424657,54,292,153
154,183.16986301369863,54,305,154
155,186.29315068493145,54,305,155
156,189.23561643835626,54,305,156
157,191.5150684931507,54,305,157
158,193.79452054794524,54,305,158
159,195.9342465753425,54,305,159
160,197.28219178082202,54,305,160
161,198.70684931506855,61,345,161
162,202.21369863013697,61,345,162
163,204.05479452054817,61,345,163
164,205.8958904109588,61,345,164
