,infection_score,infected_cells,infected_plants,day
0,0.0,2,2,0
1,0.0,2,2,1
2,0.0,2,2,2
3,0.0,2,2,3
4,0.0,2,2,4
5,0.0,2,2,5
6,0.0,2,2,6
7,0.0,2,2,7
8,0.0,2,2,8
9,0.0,2,2,9
10,0.0,2,2,10
11,0.0,2,2,11
12,0.0,2,2,12
13,0.0,2,2,13
14,0.0,2,2,14
15,0.0,2,2,15
16,0.0,2,2,16
17,0.0,2,2,17
18,0.10958904109589045,2,2,18
19,0.13150684931506854,2,2,19
20,0.1534246575342466,2,2,20
21,0.1753424657534247,2,2,21
22,0.19726027397260276,2,2,22
23,0.21917808219178084,2,2,23
24,0.263013698630137,2,2,24
25,0.30684931506849317,2,2,25
26,0.3506849315068493,2,2,26
27,0.4383561643835616,2,2,27
28,0.5260273972602739,2,2,28
29,0.6136986301369862,2,2,29
30,0.7013698630136985,2,2,30
31,0.8109589041095889,2,2,31
32,0.9205479452054793,2,2,32
33,1.0301369863013696,2,4,33
34,1.13972602739726,2,4,34
35,1.2493150684931504,2,4,35
36,1.3589041095890408,4,8,36
37,1.4684931506849312,5,11,37
38,1.5780821917808217,5,11,38
39,1.687671232876712,5,11,39
40,1.7972602739726025,5,11,40
41,1.9068493150684929,5,11,41
42,2.0,5,11,42
43,2.0,5,11,43
44,2.0,5,11,44
45,2.0,6,15,45
46,2.0,8,19,46
47,2.0,8,19,47
48,2.0,8,19,48
49,2.0,8,19,49
50,2.0,10,23,50
51,2.0,10,23,51
52,2.1095890410958904,10,23,52
53,2.1315068493150684,10,23,53
54,2.153424657534247,10,23,54
55,2.3945205479452056,10,23,55
56,2.6246575342465754,10,25,56
57,2.723287671232877,10,25,57
58,2.8438356164383567,10,25,58
59,2.9643835616438357,10,25,59
60,3.084931506849315,10,25,60
61,3.2931506849315064,10,25,61
62,3.5342465753424652,10,25,62
63,3.7753424657534245,10,25,63
64,4.323287671232877,10,25,64
65,5.0027397260273965,10,25,65
66,5.506849315068492,10,25,66
67,6.010958904109588,10,25,67
68,6.558904109589041,10,25,68
69,7.358904109589041,10,25,69
70,8.027397260273974,11,29,70
71,8.739726027397259,11,34,71
72,9.452054794520544,11,34,72
73,10.252054794520543,11,34,73
74,11.139726027397261,11,34,74
75,12.18082191780822,11,37,75
76,13.117808219178086,11,37,76
77,14.005479452054796,11,37,77
78,15.024657534246575,11,37,78
79,16.01095890410959,11,43,79
80,16.78630136986301,11,43,80
81,17.443835616438353,11,43,81
82,18.145205479452056,11,43,82
83,18.84657534246575,12,55,83
84,19.59178082191781,12,55,84
85,20.33698630136986,18,70,85
86,21.08219178082192,18,70,86
87,21.82739726027397,21,85,87
88,22.561643835616433,21,85,88
89,23.295890410958904,21,85,89
90,23.942465753424653,21,89,90
91,24.369863013698623,21,89,91
92,24.797260273972597,21,89,92
93,25.191780821917806,21,89,93
94,25.564383561643837,21,89,94
95,25.84931506849315,21,89,95
96,26.18904109589041,21,89,96
97,26.528767123287665,21,89,97
98,27.284931506849308,21,89,98
99,27.871232876712334,21,89,99
100,28.3972602739726,21,89,100
101,28.923287671232874,21,89,101
102,30.150684931506838,21,89,102
103,30.972602739726028,23,104,103
104,32.682191780821896,23,104,104
105,33.734246575342475,23,104,105
106,35.608219178082166,25,115,106
107,36.98904109589042,25,115,107
108,38.50136986301369,25,115,108
109,40.23287671232875,25,115,109
110,41.95342465753423,25,115,110
111,44.002739726027364,25,115,111
112,46.21643835616438,26,126,112
113,48.72602739726027,26,126,113
114,51.008219178082186,26,126,114
115,53.56164383561641,26,126,115
116,56.11506849315067,26,126,116
117,58.83287671232873,30,147,117
118,61.61369863013699,30,147,118
119,64.41917808219176,30,147,119
120,67.22465753424656,31,164,120
121,70.03013698630137,35,184,121
122,73.65205479452055,35,184,122
123,76.33698630136986,35,184,123
124,79.02191780821919,35,184,124
125,82.3095890410959,35,190,125
126,85.01643835616437,35,190,126
127,87.16438356164379,35,190,127
128,89.35342465753426,35,194,128
129,90.84383561643831,35,194,129
130,92.21095890410959,35,194,130
131,93.93150684931503,35,194,131
132,95.16986301369856,35,194,132
133,96.37534246575346,35,194,133
134,97.63561643835615,35,194,134
135,99.0602739726027,35,194,135
136,101.63561643835607,35,194,136
137,103.41095890410952,35,197,137
138,105.30684931506858,35,197,138
139,108.13424657534256,35,197,139
140,111.55342465753415,42,220,140
141,114.09589041095887,47,239,141
142,116.86849315068505,48,256,142
143,119.64109589041095,48,256,143
144,122.86301369863014,48,256,144
145,126.46849315068481,48,256,145
146,130.16986301369857,53,277,146
147,133.39178082191788,53,277,147
148,136.8109589041096,53,277,148
149,140.8082191780822,53,277,149
150,144.3589041095891,53,277,150
151,147.90958904109593,53,277,151
152,151.64657534246595,53,277,152
153,155.77808219178092,53,277,153
154,159.90958904109607,53,277,154
155,163.95068493150697,53,285,155
156,167.73150684931517,53,285,156
157,171.44657534246585,53,285,157
158,175.1616438356165,53,285,158
159,180.13698630136986,53,285,159
160,185.01643835616446,53,285,160
161,189.01643835616434,53,285,161
162,192.30410958904113,53,285,162
163,195.4520547945204,53,285,163
